date,spend_google,spend_facebook,spend_influencer,impressions_google,clicks_google,impressions_facebook,clicks_facebook,impressions_influencer,clicks_influencer,sessions,units_sold,avg_order_value,conversion_rate,discount,promo_type,season,revenue
2025-11-22 23:56:42,2486.4,1953.98,1894.15,298367,14096,214938,5098,170473,11139,18369,614,44.91,0.0334,0.129,radio,fall,27576.19
2025-11-22 23:57:42,2284.56,2462.01,1508.71,274147,9241,270821,8130,135783,9438,16385,297,36.47,0.0181,0.242,email,spring,10832.62
2025-11-22 23:58:42,2672.82,2213.73,1462.0,320738,11703,243510,5952,131579,8251,15625,193,75.91,0.0124,0.04,social,spring,14649.68
2025-11-22 23:59:42,3465.02,1915.21,2522.22,415801,17534,210673,5323,227000,8771,19165,559,80.03,0.0292,0.18,tv,spring,44736.8
2025-11-23 00:00:42,2660.77,2720.27,2741.36,319292,12825,299230,12981,246722,14857,24243,930,83.2,0.0384,0.073,email,spring,77377.59
2025-11-23 00:01:42,1702.17,1673.82,2022.15,204260,11432,184119,8229,181993,8666,17279,572,37.96,0.0332,0.097,social,fall,21715.84
2025-11-23 00:02:42,2571.67,2635.49,1496.75,308599,12786,289903,7172,134707,8881,18450,683,87.4,0.037,0.201,tv,fall,59696.47
2025-11-23 00:03:42,2013.5,2260.12,1363.04,241620,5526,248613,6773,122673,3798,11060,398,68.64,0.0361,0.156,social,winter,27319.08
2025-11-23 00:04:42,2559.27,1832.92,1041.83,307112,15024,201621,7775,93765,6498,18008,804,55.81,0.0447,0.195,tv,summer,44874.45
2025-11-23 00:05:42,1966.78,1622.91,1509.33,236013,7080,178519,5328,135839,8946,14403,182,72.63,0.0127,0.162,radio,fall,13218.4
2025-11-23 00:06:42,2013.65,1946.47,1355.51,241637,13612,214112,8301,121995,4756,17154,486,69.48,0.0283,0.188,email,spring,33767.38
2025-11-23 00:07:42,3195.34,2235.06,2012.33,383441,15765,245856,7328,181109,7225,18540,852,98.01,0.046,0.211,email,summer,83505.34
2025-11-23 00:08:42,3611.11,2191.95,1587.44,433333,9355,241114,6871,142869,9621,15750,330,81.58,0.021,0.171,holiday,winter,26921.92
2025-11-23 00:09:42,2582.84,2215.33,1670.19,309941,16164,243686,8994,150317,9164,21048,375,71.25,0.0178,0.049,email,fall,26720.6
2025-11-23 00:10:42,2788.36,1445.03,1349.13,334602,8275,158953,4846,121422,4474,12759,184,80.79,0.0145,0.177,radio,fall,14864.7
2025-11-23 00:11:42,2863.1,1840.86,1735.14,343571,17794,202495,9801,156162,10630,23928,966,83.01,0.0404,0.057,radio,winter,80188.64
2025-11-23 00:12:42,3121.83,1665.44,1913.75,374619,8022,183198,7853,172237,11542,17726,375,66.3,0.0212,0.229,radio,winter,24861.25
2025-11-23 00:13:42,2594.49,1440.62,1694.66,311338,15277,158467,3417,152519,7649,17477,774,66.55,0.0443,0.234,radio,spring,51510.02
2025-11-23 00:14:42,1915.17,1231.03,1296.19,229820,7136,135413,4436,116656,3817,10232,248,76.02,0.0243,0.117,email,winter,18852.15
2025-11-23 00:15:42,3019.43,1991.55,2016.76,362331,21564,219070,7630,181508,12326,24978,538,86.36,0.0216,0.235,radio,summer,46459.99
2025-11-23 00:16:42,2737.95,2539.46,1544.99,328554,13318,279341,11290,139049,7089,19824,780,68.73,0.0394,0.056,social,winter,53608.85
2025-11-23 00:17:42,2973.19,1926.81,1267.46,356783,19009,211949,8229,114071,7324,22070,343,72.22,0.0155,0.005,social,fall,24770.6
2025-11-23 00:18:42,2529.27,2078.02,1902.02,303512,12892,228582,8812,171182,11398,20040,234,60.1,0.0117,0.228,email,spring,14063.85
2025-11-23 00:19:42,2003.33,2476.9,1601.08,240399,7160,272458,9833,144097,5396,14339,669,89.76,0.0467,0.194,holiday,spring,60047.51
2025-11-23 00:20:42,2067.44,2194.51,1238.61,248093,6297,241396,9568,111475,4068,13343,271,75.26,0.0203,0.095,email,fall,20394.25
2025-11-23 00:21:42,3071.09,2759.82,1318.04,368530,16257,303580,8299,118623,6099,19836,330,67.4,0.0166,0.152,social,summer,22240.79
2025-11-23 00:22:42,3149.59,1895.51,1670.16,377951,19593,208506,6427,150314,6661,20856,904,75.07,0.0434,0.085,tv,fall,67860.42
2025-11-23 00:23:42,2511.68,2844.26,2014.73,301401,9699,312868,13056,181325,7873,18434,412,83.0,0.0224,0.218,radio,spring,34194.1
2025-11-23 00:24:42,2691.73,1583.68,1854.91,323007,18381,174204,8449,166941,8519,21750,525,68.78,0.0242,0.16,holiday,winter,36107.16
2025-11-23 00:25:42,2113.94,2250.98,1045.73,253672,9233,247607,4957,94116,6529,14369,565,71.66,0.0393,0.19,email,spring,40487.36
2025-11-23 00:26:42,1769.07,1918.52,1745.78,212288,7234,211036,7915,157119,5245,14481,643,57.58,0.0444,0.155,radio,winter,37026.35
2025-11-23 00:27:42,1929.1,2292.85,2099.82,231491,9749,252213,5077,188984,11082,16565,222,52.15,0.0135,0.205,social,spring,11576.21
2025-11-23 00:28:42,1739.1,1735.18,990.6,208692,11785,190869,7137,89154,5028,15167,700,70.37,0.0462,0.092,tv,fall,49258.05
2025-11-23 00:29:42,2560.26,2750.97,1992.29,307231,9295,302606,10927,179306,8208,18745,740,74.69,0.0395,0.165,social,spring,55267.25
2025-11-23 00:30:42,1811.32,2097.22,991.08,217358,6625,230694,10499,89196,5163,14545,462,65.75,0.0318,0.072,radio,spring,30375.29
2025-11-23 00:31:42,1214.14,2025.98,641.46,145696,3691,222857,4878,57731,3334,8585,339,47.72,0.0395,0.054,radio,summer,16175.95
2025-11-23 00:32:42,2366.24,2436.66,1863.84,283949,7165,268032,10293,167745,9569,17326,347,53.24,0.0201,0.132,holiday,spring,18475.52
2025-11-23 00:33:42,2431.28,2806.25,1519.49,291753,6574,308687,6975,136754,4635,12378,521,56.16,0.0421,0.218,radio,fall,29257.83
2025-11-23 00:34:42,1418.08,1731.06,1443.27,170169,7793,190416,5280,129894,9067,13931,316,55.82,0.0227,0.149,radio,summer,17638.9
2025-11-23 00:35:42,3568.52,2938.7,1378.62,428222,18332,323256,12303,124076,7626,23546,1049,103.48,0.0446,0.213,email,fall,108545.95
2025-11-23 00:36:42,2525.47,3173.38,1780.97,303056,13970,349072,7780,160287,7187,18639,557,61.66,0.0299,0.172,tv,winter,34343.98
2025-11-23 00:37:42,2791.38,1879.93,1320.39,334966,10166,206792,8181,118835,8020,16508,819,81.37,0.0497,0.214,radio,spring,66643.99
2025-11-23 00:38:42,2249.94,2840.83,1565.7,269992,12152,312490,10125,140912,8336,18876,787,83.56,0.0417,0.057,tv,fall,65763.34
2025-11-23 00:39:42,3029.82,973.62,1844.29,363578,18609,107097,3076,165986,8897,19597,875,77.77,0.0447,0.012,radio,winter,68049.37
2025-11-23 00:40:42,2050.34,2031.71,1991.24,246040,10150,223487,7712,179212,11643,18082,387,66.48,0.0214,0.028,social,fall,25729.46
2025-11-23 00:41:42,2834.89,2717.39,1619.02,340186,17353,298912,9137,145711,5665,19133,702,51.14,0.0367,0.136,social,summer,35902.74
2025-11-23 00:42:42,2527.49,1011.04,2610.22,303298,14051,111214,3440,234919,9841,17493,394,81.95,0.0225,0.134,holiday,summer,32287.08
2025-11-23 00:43:42,2988.25,1697.43,831.32,358589,17021,186717,6209,74818,4154,17728,545,76.91,0.0308,0.06,social,fall,41913.85
2025-11-23 00:44:42,2398.34,1884.76,1010.01,287800,9123,207323,9368,90901,4922,14495,328,70.34,0.0227,0.17,radio,summer,23072.2
2025-11-23 00:45:42,2544.18,2383.82,1429.26,305301,16651,262220,12391,128633,8258,23271,599,69.36,0.0258,0.225,holiday,winter,41547.61
